"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"classe 1";-0,786724583695059;1,49665022148073;-1,23295887484701;-1,01297705767894;-1,44732695519113;-0,287271911635881;0,546500743825343;-0,45021403968611;-0,369887838557125;-0,528490388881828;0,123484350038154;0,355696713113594;0,224883427319243;0,113066974501917;0,182868535027091;0,0728162674936579;0,263526078605576;0,178846379558768;0,120720823625435;0,246442878087595;0,117647572628968;1,1356661351262;0,15173449449447
"classe 2";-1,19796151653611;0,912514025356059;-0,0555208937458172;1,51037471959788;1,27591082729579;-0,481888593098745;0,367065296999839;-0,0223336768380659;0,60755903977905;0,513244261186994;0,352400531536125;0,16274312959673;0,000561251493730601;0,309378629686591;0,17491645768682;0,199874723310215;0,115971490330594;0,000429323873198651;0,317717807845132;0,226731983502031;0,139274671138829;1,02366653043283;0,145944976017593
"classe 3";0,51042457967311;0,0946320609396307;1,47013771955398;0,894538288611655;-1,36714000595372;0,22601838606201;0,0419035182376895;0,650983843441228;0,39610572906219;-0,605375975162399;0,0832379062299236;0,00227723227575519;0,511997476690709;0,14119715013553;0,26129023466808;0,0427099214296853;0,00146805460529476;0,354308567287689;0,13117874793513;0,306402000812846;0,163932707929354;0,897438962287812;0,132030860518254
"classe 4";1,10237106674417;0,940723202493869;0,905732719888859;-1,39505746377307;1,2693062710766;0,433123858431774;0,369612080244298;0,355864247693655;-0,54812094554334;0,498713043407488;0,282105282259368;0,16351291598866;0,14120481690639;0,249522593012295;0,16365439183329;0,16250937531442;0,118344075259901;0,109704116168973;0,260259746692829;0,215454545131738;0,13372814143214;1,05282481179857;0,148229632367499
"classe 5";-0,850372916854062;-1,3007770114233;0,173998494276137;-0,628559349111341;0,0997592759173042;-0,503675986345368;-0,770450388598687;0,103059330195228;-0,372295782080498;0,0590874317595077;0,312387217531437;0,581772068679679;0,00969748656584195;0,0942620912081159;0,0018811360149235;0,187804151839313;0,439432379862076;0,00786280181171599;0,102607458294275;0,00258459753280071;0,259708610659819;0,771785663661733;0,154696241797899
"classe 6";1,34166211338229;-0,574335254064877;-1,37057552120354;0,602956275938057;0,113301852638421;0,640720771828889;-0,274278094016758;-0,654528585875849;0,287946276968489;0,0541081467144681;0,491571203048448;0,0716974677491379;0,380364393279802;0,0548329783395175;0,00153395758309552;0,334285560612709;0,0612579213365584;0,348848811299656;0,0675154156071991;0,00238399493298758;0,18570829621089;0,97069737187626;0,174984271241238
