humain;3;8;88;31;10;18
paraître;46;15;9;17;46;15
matériel;8;12;32;8;50;28
disposer;14;11;11;11;71;29
seulement;13;8;27;33;35;28
placer;10;8;12;6;78;29
information;39;46;19;5;34;8
langage;1;2;17;32;2;9
historique;11;15;20;40;46;12
documentaire;8;28;21;6;69;13
cinéma;9;5;17;16;3;76
mesure;10;17;35;13;12;32
parler;6;6;10;80;4;27
indiquer;5;2;15;4;101;15
administration;16;100;6;2;13;4
ligne;5;6;4;3;31;72
librairie;72;25;4;2;7;2
suivre;13;12;26;25;42;16
unité;2;12;17;5;44;9
possible;7;11;38;6;47;19
pièce;14;13;7;14;42;35
index;8;1;0;5;91;8
sorte;8;15;14;22;44;28
notion;5;10;32;13;27;19
institut;13;89;5;3;25;4
i;7;31;7;8;39;17
production;18;21;42;17;23;15
venir;15;18;17;21;16;43
problème;7;18;51;5;19;20
exemplaire;58;10;1;8;45;8
cours;29;31;16;24;22;11
représenter;9;14;21;14;16;53
imprimerie;33;13;11;11;13;52
fonction;8;33;37;7;34;13
déterminer;5;16;49;5;43;10
base;6;16;30;4;44;24
domaine;3;41;49;13;9;13
dernier;27;16;7;22;30;19
commun;11;31;29;14;28;6
série;5;13;13;4;69;15
dictionnaire;9;4;3;14;65;5
besoin;9;21;36;19;22;10
usage;16;18;19;17;23;33
pratique;13;20;49;8;32;5
oeil;3;3;22;17;14;58
reproduction;8;5;8;9;19;68
distinguer;6;8;22;20;42;20
moderne;14;18;15;46;13;17
compte;31;17;17;10;42;9
enseignement;4;54;19;15;6;9
condition;16;21;46;11;17;20
âge;3;4;19;66;9;24
principal;6;12;14;10;58;14
composer;4;6;15;18;24;45
aller;13;12;17;27;21;24
raison;16;10;35;21;21;20
prix;65;7;5;2;22;15
important;24;19;16;16;29;15
commencer;17;17;11;19;30;29
progrès;12;17;48;10;9;25
posséder;25;14;9;18;31;17
date;9;7;1;5;78;15
appeler;10;11;13;19;25;40
tenir;15;24;28;13;25;15
impression;15;5;12;7;31;48
haut;8;9;13;19;19;44
corps;8;15;29;16;31;21
porter;10;11;15;6;62;17
office;11;74;1;6;20;1
logique;0;0;34;9;8;1
genre;8;7;13;34;15;17
droit;26;32;5;14;20;5
systématique;3;7;15;3;82;1
nouvelle;21;16;34;19;15;11
importance;11;16;28;21;30;20
nécessaire;4;24;20;9;43;15
considérer;9;9;37;6;40;13
coopération;1;76;3;0;34;1
the;8;0;0;0;5;2
appliquer;4;6;21;11;36;36
numéro;16;4;0;3;84;6
différent;6;12;22;16;30;20
cas;9;18;20;8;42;13
terme;3;2;28;6;29;7
recueil;12;11;2;8;72;4
obtenir;6;7;12;6;19;58
notamment;17;30;9;8;33;20
notation;1;0;10;14;24;36
alphabétique;0;1;0;4;95;11
tendre;7;13;34;4;25;15
nature;2;15;35;19;22;18
moment;5;15;43;16;22;14
main;13;3;15;9;11;57
suite;10;10;15;12;49;8
reproduire;8;6;7;5;34;53
organiser;19;64;9;7;11;4
guerre;61;16;10;12;1;11
disposition;9;24;9;10;43;14
appareil;5;6;2;2;9;84
allemagne;78;8;5;9;5;9
relatif;8;24;11;5;41;5
parole;2;4;17;37;4;22
décimal;0;0;0;1;109;2
bibliologie;3;4;68;2;9;1
époque;5;3;21;38;13;19
développer;6;19;23;6;21;15
continuer;15;8;21;24;28;16
alphabet;1;2;4;16;3;54
recevoir;34;15;10;11;23;19
description;3;4;12;6;51;10
peuple;10;9;10;66;4;9
effort;6;15;45;14;17;5
degré;4;23;14;5;22;5
conserver;14;16;13;9;29;25
analyse;4;7;19;8;49;3
statistique;11;20;13;1;28;7
source;11;11;10;12;49;6
offrir;20;17;16;9;25;11
indication;3;2;8;6;78;2
allemand;44;13;0;15;17;12
résultat;5;8;40;2;20;12
politique;28;13;15;31;7;6
intérêt;17;32;9;14;18;10
courant;10;20;7;6;31;25
composition;5;3;13;15;12;40
organe;14;44;10;3;11;8
long;4;2;15;20;22;29
couleur;0;2;5;1;15;71
traduction;11;5;1;38;19;5
réunir;17;23;5;4;50;6
nombreux;13;9;14;9;22;23
dessin;0;1;5;3;3;74
latin;3;1;1;52;2;28
évolution;1;5;57;9;11;5
théorie;1;2;45;7;10;5
institution;6;65;5;4;10;5
h;12;14;7;6;29;13
caractéristique;2;4;17;4;47;7
administratif;4;53;2;1;24;6
étudier;7;11;44;8;12;7
établissement;6;45;3;2;35;8
théâtre;2;5;4;22;3;50
origine;10;7;11;23;20;22
centre;18;54;5;1;10;6
opérer;1;12;10;5;36;22
libraire;73;10;0;1;4;1
demander;18;22;7;14;22;16
anglais;30;2;3;17;9;24
étendre;13;14;29;9;22;7
contenu;2;7;22;6;53;3
illustration;7;2;3;10;21;34
grec;1;0;0;63;2;28
arriver;9;6;32;14;13;13
naturel;2;3;35;7;16;15
invention;9;7;30;8;4;31
force;1;16;44;11;6;4
chiffre;10;3;5;1;22;36
heure;9;6;8;17;5;36
nation;12;59;6;9;1;4
distinct;3;11;13;6;38;9
consister;3;3;24;17;16;15
écrivain;10;7;11;48;5;4
personnel;5;25;18;12;23;6
unir;54;11;5;4;6;7
phénomène;1;3;38;4;5;12
physique;3;5;17;10;14;12
utiliser;9;11;12;8;22;26
synthèse;0;6;44;9;12;3
rayon;2;5;3;2;44;23
fondamental;0;8;22;0;36;7
effet;6;12;24;14;13;15
ajouter;8;1;8;11;25;34
utile;7;7;17;6;41;8
occuper;18;19;11;13;14;10
groupe;8;8;20;5;28;9
entier;16;6;11;19;17;14
salle;13;26;1;4;5;20
mode;11;5;18;4;22;16
mathématique;3;2;10;2;5;5
liste;11;14;1;1;55;1
application;3;14;19;3;27;12
mémoire;6;6;24;18;24;3
résumé;6;5;4;4;54;4
proposer;7;20;16;6;22;11
poésie;2;0;5;54;1;3
envisager;1;10;35;3;22;10
école;14;32;3;18;6;4
vente;52;11;4;0;14;1
musical;3;6;12;18;6;15
création;8;20;26;18;4;12
savant;11;16;11;30;8;3
répondre;11;10;22;12;16;12
original;4;11;5;12;32;19
congrès;9;64;0;3;4;3
véritable;5;16;23;12;12;18
laisser;2;6;13;32;10;20
faciliter;4;10;4;4;53;8
université;23;44;4;3;4;3
