"";"V1";"V2";"V3"
"1";"soi_même";"0.498206775124116";"0.190899057203112"
"2";"avoir";"0.0692044670654639";"0.189585959283183"
"3";"toutes";"-0.0763816575104996";"0.0676346611233717"
"4";"toute";"0.214604326705091";"0.138493319713358"
"5";"300";"-0.0244581903108314";"0.192198964659936"
"6";"leur";"-0.117358574726578";"-0.0923031817731494"
"7";"quelle";"0.516513430926023";"-0.131674019667799"
"8";"souvent";"-0.0570729909560757";"-0.0976213623959742"
"9";"lui_même";"0.360452662826917";"-0.156554246268087"
"10";"après";"0.0562137934888946";"-0.237466680327479"
"11";"aujourd_hui";"0.646836649043654";"0.388747026198941"
"12";"laquelle";"0.481232321784919";"0.250560076004035"
"13";"autres";"0.0470710027678653";"-0.116900622902322"
"14";"au";"0.144643795149139";"0.263525363360111"
"15";"fort";"0.172787628373654";"0.29471940788935"
"16";"leurs";"-0.0745034376549457";"0.411007646360529"
"17";"faire";"0.225002654691838";"0.141328495572145"
"18";"peut_être";"0.784503637021456";"0.603049685164484"
"19";"celui";"0.438077312999558";"0.0106374355359188"
"20";"rien";"0.668921128351008";"0.290164741634776"
"21";"beaucoup";"0.324140188214636";"0.552030003703022"
"22";"puisque";"0.394255733872106";"0.830095735938663"
"23";"56";"0.610977002614681";"0.181272530150286"
"24";"tant";"0.146341459683139";"0.21056951677818"
"25";"nous_mêmes";"1.39521094205672";"0.832304091912783"
"26";"mêmes";"-0.4173745560622";"-0.228687331667075"
"27";"18";"0.0474678165822722";"-0.295869578518815"
"28";"certaines";"0.0268886647036413";"-0.368120829755297"
"29";"pourquoi";"0.664826669154896";"0.579361958887086"
"30";"demi";"0.437464371163499";"0.282882273880996"
"31";"c_est_à_dire";"0.539844469586342";"-0.118338311340584"
"32";"tous";"0.0235246203296497";"0.185782539934224"
"33";"jusque";"0.698022340769601";"0.350969965754825"
"34";"quelque";"0.39052085537045";"0.127016822678828"
"35";"aucune";"1.08186036021553";"0.629208170650976"
"36";"unes";"0.121076368769381";"-0.642956301855627"
"37";"cet";"-0.111708234298049";"-0.224062381824767"
"38";"différents";"-0.342673368038945";"-0.156790422998448"
"39";"quasi";"0.554495732052156";"0.723518799792202"
"40";"trois";"0.152233061538507";"-0.257902124503562"
"41";"auxquels";"-0.222112727808122";"-0.387026724381839"
"42";"autrefois";"0.563196554499504";"0.33420295962546"
"43";"141";"0.702950375403306";"0.0724239184879374"
"44";"1500";"0.526078704039815";"-0.0112260412082506"
"45";"cinquante";"1.03255643019502";"0.599148440011245"
"46";"certains";"-0.116505180638595";"-0.0456336777686936"
"47";"quelles";"0.177341557830092";"0.352768624856242"
"48";"aussi";"0.283802123487999";"-0.0561926122905849"
"49";"92";"-0.221964061543461";"-0.275953650687877"
"50";"133";"-0.0131733259843994";"0.636369281115218"
"51";"attention";"0.757307704413369";"-0.133889997644541"
"52";"jusqu";"0.377740093156434";"0.32155325649265"
"53";"1884";"-0.695655559204937";"1.59783013182292"
"54";"maints";"0.177225107658809";"0.116488426962077"
"55";"desquels";"-0.62161165559334";"0.406920404178859"
