"";"x"
"639";3
"640";3
"641";0
"642";3
"643";3
"644";3
"645";4
"646";3
"647";3
"648";3
"649";3
"650";6
"651";3
"652";3
"653";3
"654";3
"655";3
"656";4
"657";6
"658";6
"659";3
"660";0
"661";3
"662";0
"663";3
"664";3
"665";0
"666";4
"667";0
"668";3
"669";0
"670";3
"671";2
"672";2
"673";2
"674";2
"675";2
"676";3
"677";2
"678";2
"679";3
"680";2
"681";0
"682";2
"683";2
"684";1
"685";2
"686";2
"687";1
"688";1
"689";5
"690";5
"691";5
"692";3
"693";3
"694";6
"695";5
"696";3
"697";3
"698";3
"699";3
"700";2
"701";5
"702";5
"703";3
"704";2
"705";3
"706";5
"707";3
"708";3
"709";3
"710";3
"711";4
"712";0
"713";2
"714";4
"715";3
"716";6
"717";6
"718";3
"719";0
"720";3
"721";3
"722";3
"723";3
"724";3
"725";3
"726";3
"727";3
"728";3
"729";5
"730";5
"731";3
"732";4
"733";4
"734";4
"735";0
"736";1
"737";3
"738";5
"739";0
"740";1
"741";0
"742";0
"743";1
"744";0
"745";0
"746";2
"747";3
"748";0
"749";0
"750";3
"751";5
"752";6
"753";5
"754";5
"755";4
"756";2
"757";0
"758";5
"759";3
"760";6
"761";6
"762";5
"763";6
"764";5
"765";0
"766";3
"767";0
"768";3
"769";3
"770";3
"771";5
"772";5
"773";0
"774";0
"775";6
"776";0
"777";0
"778";3
"779";0
"780";3
"781";3
"782";3
"783";4
"784";4
"785";4
"786";4
"787";3
"788";3
"789";4
"790";6
"791";4
"792";3
"793";4
"794";0
"795";3
"796";3
"797";6
"798";3
"799";0
"800";0
"801";3
"802";5
"803";3
"804";3
"805";3
"806";5
"807";3
"808";2
"809";3
"810";4
"811";6
"812";0
"813";3
"814";1
"815";4
"816";6
"817";5
"818";3
"819";3
"820";0
"821";5
"822";0
"823";5
"824";5
"825";5
"826";1
"827";6
"828";6
"829";0
"830";5
"831";5
"832";5
"833";5
"834";0
"835";6
"836";5
"837";5
"838";0
"839";3
"840";6
"841";6
"842";6
"843";6
"844";6
"845";6
"846";6
"847";2
"848";6
"849";6
"850";6
"851";6
"852";6
"853";6
"854";6
"855";1
"856";6
"857";6
"858";6
"859";6
"860";6
"861";6
"862";6
"863";6
"864";6
"865";6
"866";6
"867";6
"868";6
"869";6
"870";1
"871";1
"872";6
"873";6
"874";6
"875";6
"876";6
"877";6
"878";6
"879";6
"880";6
"881";6
"882";6
"883";2
"884";6
"885";5
"886";6
"887";6
"888";6
"889";6
"890";6
"891";6
"892";0
"893";6
"894";6
"895";2
"896";5
"897";5
"898";6
"899";6
"900";6
"901";0
"902";2
"903";6
"904";6
"905";6
"906";6
"907";6
"908";1
"909";6
"910";5
"911";1
"912";2
"913";2
"914";6
"915";2
"916";1
"917";2
"918";0
"919";1
"920";6
"921";1
"922";1
"923";6
"924";1
"925";1
"926";1
"927";1
"928";1
"929";6
"930";1
"931";6
"932";1
"933";1
"934";1
"935";1
"936";1
"937";1
"938";1
"939";6
"940";4
"941";1
"942";6
"943";6
"944";6
"945";6
"946";3
"947";6
"948";0
"949";6
"950";6
"951";6
"952";6
"953";1
"954";2
"955";5
"956";6
"957";0
"958";6
"959";6
"960";4
"961";6
"962";6
"963";6
"964";6
"965";6
"966";4
"967";5
"968";5
"969";3
"970";5
"971";6
"972";6
"973";5
"974";5
"975";5
"976";5
"977";5
"978";1
"979";6
"980";6
"981";5
"982";5
"983";1
"984";6
"985";5
"986";2
"987";5
"988";5
"989";5
"990";5
"991";5
"992";5
"993";5
"994";1
"995";6
"996";1
"997";0
"998";0
"999";0
"1000";6
"1001";5
"1002";5
"1003";5
"1004";1
"1005";6
"1006";6
"1007";0
"1008";0
"1009";6
"1010";0
"1011";0
"1012";0
"1013";0
"1014";0
"1015";0
"1016";6
"1017";6
"1018";5
"1019";6
"1020";4
"1021";4
"1022";5
"1023";5
"1024";5
"1025";5
"1026";5
"1027";5
"1028";5
"1029";5
"1030";5
"1031";2
"1032";5
"1033";6
"1034";5
"1035";5
"1036";1
"1037";5
"1038";6
"1039";6
"1040";5
"1041";5
"1042";1
"1043";1
"1044";6
"1045";6
"1046";5
"1047";6
"1048";5
"1049";5
"1050";5
"1051";5
