500;31;2;0;1;13;5
241;12;6;7;7;20;2
20;18;2;1;4;13;21
or;4;4;12;12;3;19
cinq;10;7;6;6;15;11
unes;1;5;10;9;20;9
11;9;7;3;3;17;8
chacune;1;6;7;1;28;7
243;2;5;6;7;2;24
222;2;0;10;5;3;28
mille;13;2;6;8;6;11
24;18;3;2;5;12;11
200;18;3;0;3;13;12
100;13;6;1;5;11;11
50;13;4;2;0;19;11
22;9;8;2;4;14;13
tandis_que;2;4;11;10;11;10
longtemps;4;7;6;15;4;14
autrefois;7;6;3;11;8;15
25;14;2;3;3;10;13
attention;1;6;11;8;8;14
assez;5;2;11;9;8;11
grâce;1;1;10;6;12;12
voici;4;4;8;9;15;2
14;9;4;1;3;13;9
partout;7;6;6;9;8;8
outre;8;2;7;4;19;6
lesquels;3;1;8;9;15;6
elles_mêmes;1;10;3;5;17;3
vous;1;4;0;10;2;2
dix;5;0;5;1;13;15
celles_ci;2;6;5;4;18;6
60;12;9;1;1;5;12
242;5;3;2;7;5;19
loin;3;2;9;5;9;13
enfin;4;0;9;9;9;10
certaine;4;3;4;8;9;8
afin;4;8;8;4;14;5
u;5;7;1;5;11;4
tels;4;4;8;3;10;8
six;9;5;6;8;8;7
13;5;5;3;2;11;8
quelle;3;2;14;6;9;7
1928;13;12;1;2;4;1
je;0;0;0;18;2;4
telles;0;6;5;5;14;8
ailleurs;9;1;5;3;8;6
ceux_ci;4;7;4;2;11;6
aucune;6;2;5;9;2;12
18;8;3;1;2;11;13
celui_ci;3;5;8;5;9;8
21;8;2;3;2;12;7
quelconque;1;2;4;2;14;11
mal;4;2;6;9;3;7
lorsqu;1;2;5;8;13;6
aucun;2;4;5;3;11;7
300;11;5;0;0;7;15
253;15;8;2;2;2;5
v;6;7;1;8;6;3
quel;1;2;7;5;10;9
plupart;5;1;4;9;9;6
mm;4;2;0;0;8;14
lesquelles;2;7;10;3;9;2
40;13;1;1;2;6;8
30;15;4;1;2;5;9
x;4;1;1;3;5;9
soi;1;4;5;8;8;4
dehors;6;4;6;7;6;4
32;6;0;0;2;19;5
to;0;0;0;0;4;0
peut_être;6;0;10;4;2;6
jusqu;4;6;4;4;4;10
hors;2;4;7;0;11;2
1929;9;6;0;3;6;3
lors;2;3;7;4;8;6
28;11;3;2;3;3;8
1931;10;8;0;3;3;3
auquel;1;2;7;5;7;5
concernant;4;6;1;1;16;0
auxquels;3;2;3;5;11;3
17;4;5;4;4;8;4
près;4;3;2;3;2;13
cent;8;3;2;4;4;4
255;2;2;3;0;18;0
quoi;1;1;6;7;2;5
ceci;1;4;7;3;7;3
35;5;1;2;2;5;11
1930;9;10;0;2;2;2
moindre;2;0;4;7;3;8
1910;5;11;1;0;4;3
0;3;0;1;0;7;9
vingt;7;2;3;5;2;3
van;6;3;1;1;6;1
auxquelles;1;3;5;3;10;3
31;2;3;1;2;14;4
600;6;1;0;2;10;5
400;7;3;1;1;4;8
19;5;4;1;3;7;1
sept;5;0;2;6;4;5
quelles;4;1;7;4;5;2
pourquoi;2;3;8;5;2;4
o;3;1;2;0;6;4
jusque;6;0;2;3;3;8
croire;1;0;4;14;0;4
27;3;3;0;2;10;4
262;1;9;1;0;12;0
23;6;2;1;2;8;4
221;1;1;4;0;9;7
1927;3;9;1;0;3;1
422;2;11;1;0;10;0
412;0;0;1;0;17;3
1925;5;5;2;2;2;0
jusqu_au;6;4;2;2;3;5
44;6;1;0;2;7;4
413;0;1;2;0;9;7
33;5;1;3;1;8;5
lorsque;2;1;3;5;5;5
80;6;2;1;2;5;5
45;5;3;1;2;2;6
vite;3;0;4;4;1;8
soi_même;0;2;9;2;2;1
moi;0;0;7;9;0;2
autour;6;2;1;2;3;3
26;4;4;0;1;6;5
56;4;1;1;1;2;7
42;2;2;0;3;8;2
224;1;0;4;2;5;0
voire;3;0;3;3;2;4
quels;2;0;7;2;5;2
quelquefois;3;0;1;3;6;6
1906;9;3;1;0;4;0
toutefois;2;3;2;3;3;2
ton;0;0;2;3;1;8
700;8;2;2;1;4;1
41;1;0;1;2;10;4
231;1;1;1;1;12;2
223;1;2;0;4;4;0
1924;5;6;0;0;1;0
1923;4;4;0;1;1;1
1922;6;5;0;2;1;0
1921;5;5;1;0;1;1
quasi;3;3;2;1;0;6
puisque;2;1;6;4;2;0
demain;2;3;5;2;0;4
66;4;2;0;1;5;3
65;4;2;1;2;1;2
251;0;3;3;2;5;0
1920;7;1;2;1;0;2
nul;3;0;5;3;3;2
me;0;0;0;8;1;3
malgré;1;1;3;8;0;2
durant;5;1;3;3;0;3
au_dessus;2;3;4;1;3;3
800;8;2;0;0;2;4
70;2;3;2;0;2;2
53;0;0;1;1;6;5
52;0;0;1;2;6;6
411;0;3;3;1;5;1
36;5;0;1;1;2;6
34;0;3;1;1;7;4
257;0;2;8;0;0;4
1926;5;2;0;0;3;1
1919;4;2;0;2;1;0
1916;2;6;1;0;1;1
1914;5;2;1;0;3;1
1905;2;4;0;2;2;1
1900;6;3;1;1;1;2
1895;4;5;0;0;3;3
150;4;3;0;1;3;3
125;5;2;0;1;5;2
sinon;1;1;2;2;3;3
juste;1;0;4;2;1;3
demi;4;1;0;1;2;6
1917;5;4;0;1;1;1
1908;4;2;1;0;4;1
douze;2;1;3;1;5;1
derrière;0;0;2;5;1;2
davantage;1;0;2;3;3;2
combien;0;0;3;4;1;3
autrui;0;3;6;2;1;1
259;6;1;2;1;1;1
voilà;1;1;0;4;1;5
sauf;0;1;0;0;7;3
puisqu;2;1;4;2;1;2
pourtant;1;0;2;2;1;2
90;4;0;1;2;3;3
29;3;3;0;1;2;3
250;7;1;0;1;0;2
234;2;0;0;1;8;0
1918;4;1;0;1;0;4
1912;1;0;1;0;4;2
120;0;2;1;3;1;5
huit;4;0;1;2;3;2
gare;8;0;1;0;2;1
75;5;3;0;1;2;0
63;3;0;1;1;1;5
43;4;1;2;1;2;1
233;3;1;1;0;7;0
1907;3;4;0;1;2;0
124;2;2;0;0;4;0
mon;1;0;1;5;3;0
duquel;0;1;2;3;4;1
ci_après;1;0;2;1;6;1
certes;0;2;3;1;2;2
72;1;2;1;1;0;5
212;0;0;3;1;3;0
1913;1;2;0;1;5;0
1911;1;4;1;1;4;0
02;0;0;0;0;3;2
trente;2;1;1;3;0;3
soixante;2;2;0;1;2;1
mme;1;1;0;2;1;1
54;0;1;1;1;4;2
512;1;0;7;0;0;1
324;1;0;2;1;1;1
265;1;3;0;0;3;2
211;1;0;1;1;3;0
1870;4;1;0;0;2;2
vos;0;1;1;3;1;0
moyennant;5;3;1;0;0;0
arrière;1;1;2;0;1;2
900;7;1;0;0;0;0
64;0;1;0;1;2;3
55;4;0;1;2;1;1
51;0;1;3;1;2;1
48;3;0;0;1;2;2
421;1;2;0;0;5;0
38;0;1;1;1;3;2
1897;1;1;0;0;3;2
155;3;1;2;0;1;2
144;2;2;0;1;2;0
115;4;1;0;0;4;0
quelques_uns;1;2;2;1;0;2
nôtre;0;1;2;1;0;2
nulle;1;0;3;1;0;2
envers;0;1;0;0;1;6
ci_dessus;0;1;0;1;5;1
93;2;2;0;0;1;1
85;0;0;1;1;5;1
46;3;4;0;0;0;0
425;0;6;1;0;0;0
261;1;3;0;0;3;0
258;0;0;2;4;0;1
240;0;0;1;0;2;2
1904;1;0;0;0;1;1
1901;2;0;0;1;3;0
1892;2;1;0;1;2;0
180;3;0;1;0;0;3
122;1;2;1;0;1;1
1000;0;0;0;1;3;2
tu;0;0;0;6;0;0
mi;0;1;0;2;1;2
maints;0;2;0;1;1;2
desquels;0;2;0;2;2;0
debout;0;0;0;0;1;3
cents;0;0;1;1;1;3
82;0;0;1;1;4;1
61;2;1;1;0;1;2
57;1;2;0;2;0;2
350;3;0;0;1;2;1
264;0;4;0;0;1;1
256;0;2;0;0;2;0
225;0;1;0;2;1;0
1909;1;2;0;0;1;1
1898;0;4;0;0;0;0
1838;1;0;1;0;3;2
1800;2;0;1;0;2;0
162;2;1;1;0;0;2
1600;2;1;0;0;2;1
159;1;0;0;0;2;1
152;0;0;3;1;1;1
1500;2;0;0;0;1;3
141;0;2;1;0;0;3
votre;0;1;1;2;0;1
quelqu_un;0;0;0;4;0;2
quarante;0;1;0;3;0;1
puissamment;0;0;2;2;0;1
maintes;0;2;0;0;2;2
jadis;0;0;1;2;1;2
extra;0;1;0;0;2;1
cinquante;1;1;0;1;0;3
ci;1;0;0;1;2;1
auparavant;1;1;0;3;0;1
98;1;2;0;0;1;0
95;1;2;2;0;0;0
92;0;2;0;0;1;2
67;2;0;0;1;3;0
62;1;2;1;0;0;2
59;3;1;1;0;0;0
58;3;1;1;0;1;0
49;0;1;0;1;2;1
47;1;2;0;1;1;1
37;1;2;1;0;0;2
312;1;1;1;0;3;0
2000;0;0;0;2;1;3
1934;0;4;0;0;2;0
1899;2;1;0;0;2;0
1893;3;0;0;0;3;0
1889;3;1;0;0;1;0
1884;2;2;1;0;0;1
1835;4;0;1;1;0;0
161;1;2;0;0;0;2
142;1;1;1;0;2;0
123;0;1;0;1;2;1
111;1;1;0;1;2;0
105;1;3;0;0;0;2
vive;0;1;1;1;1;1
vingt_quatre;1;0;0;1;0;3
toi;0;0;0;3;1;0
tandis_qu;0;1;1;0;1;1
salut;1;2;1;0;0;1
néanmoins;0;1;0;1;1;1
mlle;0;2;0;2;0;0
mes;0;0;0;1;2;1
madame;3;0;0;1;0;1
dia;3;1;0;0;1;0
desquelles;0;0;4;0;0;0
91;1;0;0;0;3;1
83;0;0;0;0;3;2
81;1;0;1;0;3;0
77;2;0;0;0;1;2
76;1;0;0;1;1;2
73;0;0;2;1;0;1
725;0;0;0;0;4;0
69;1;0;0;0;2;0
541;1;0;0;0;2;1
5000;1;0;0;1;0;3
424;0;3;0;0;1;0
415;1;1;0;0;2;0
39;0;1;1;1;1;0
323;1;0;2;0;2;0
321;0;0;0;0;4;0
283;1;1;0;0;2;0
275;3;0;0;1;0;0
232;1;0;0;2;2;0
1902;1;0;1;2;0;1
1896;1;0;0;0;3;1
1891;1;0;0;2;1;0
1886;1;2;0;0;0;1
1880;3;0;0;0;2;0
1875;1;1;0;0;1;2
1867;3;0;1;0;1;0
1866;2;0;0;0;3;0
1860;1;0;0;0;2;0
1850;2;0;0;0;0;1
1830;2;1;0;1;1;0
160;1;0;0;0;0;4
154;1;0;1;0;0;1
153;0;0;2;1;1;1
133;0;2;2;0;0;1
121;0;0;1;0;0;2
114;2;0;1;1;1;0
110;3;0;0;0;1;1
106;1;1;0;0;2;0
05;0;0;0;1;0;4
04;1;0;0;1;1;1
03;0;0;0;0;0;3
01;1;1;0;1;0;1
sien;0;0;0;4;0;0
sic;0;0;0;2;2;0
quoique;0;0;3;0;1;0
ma;0;0;0;4;0;0
inter;2;1;0;0;0;0
hélas;0;1;1;1;0;1
hier;0;0;2;0;0;1
da;0;1;0;0;1;1
ceux_là;0;1;0;1;1;1
alerte;0;1;0;1;0;2
99;1;0;0;1;2;0
96;0;1;1;0;0;2
88;1;0;0;0;2;1
87;1;0;1;1;1;0
86;1;0;0;2;1;0
84;1;0;1;0;2;0
79;1;1;0;2;0;0
71;0;1;1;0;0;1
678;2;0;0;1;0;0
660;2;0;1;0;0;1
360;0;0;0;2;0;2
322;0;0;0;0;3;0
320;1;0;0;1;1;0
3000;0;0;0;1;0;3
230;0;1;1;0;2;0
220;0;1;0;0;0;3
218;2;1;0;0;0;0
215;1;0;0;0;1;2
213;0;0;0;0;2;1
1903;3;0;0;0;1;0
190;0;0;0;1;3;0
1890;1;0;1;1;0;1
1885;1;0;0;0;3;0
1882;1;0;0;0;1;1
1878;2;1;0;0;0;0
1853;2;1;0;0;1;0
1844;3;0;0;0;1;0
1842;1;1;0;0;1;0
1750;2;1;0;1;0;0
175;0;1;0;0;0;3
170;0;1;0;0;1;2
168;2;0;0;0;1;1
164;1;0;1;0;2;0
158;0;0;1;0;1;2
1520;0;0;0;2;1;1
151;0;0;1;1;1;1
143;3;0;0;0;0;1
140;1;0;1;0;1;1
132;0;1;3;0;0;0
131;1;0;1;1;0;0
130;1;0;0;0;1;2
113;1;0;1;0;0;1
107;0;1;0;1;1;0
ça;0;1;0;2;0;0
à_l_instar;0;0;1;0;1;1
volontiers;0;1;0;0;1;1
vingt_cinq;0;0;0;1;2;0
quinze;1;0;0;0;0;2
pseudo;0;0;0;2;0;1
oui;1;0;0;0;1;1
onze;0;1;1;0;1;0
nulles;0;0;0;1;0;2
nous_mêmes;0;0;2;1;0;0
n_est_ce_pas;0;1;0;2;0;0
monsieur;2;0;0;0;0;1
dommage;1;1;1;0;0;0
dessus;0;0;0;1;1;1
dedans;0;0;0;2;1;0
ci_contre;0;0;1;0;2;0
auprès;0;0;1;0;2;0
97;0;2;0;0;1;0
780;2;0;0;0;1;0
78;0;0;0;2;1;0
74;0;0;3;0;0;0
568;0;0;0;2;1;0
480;0;0;0;1;1;1
443;1;0;0;0;1;1
423;0;1;0;0;2;0
420;2;0;0;0;0;1
4000;0;0;0;0;2;1
375;3;0;0;0;0;0
363;0;0;0;0;1;2
362;0;0;0;0;0;3
346;1;1;0;0;1;0
342;1;0;0;0;1;1
334;1;0;0;0;1;1
325;1;0;1;0;1;0
313;1;1;0;0;1;0
274;0;0;2;0;1;0
