"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"exposer";-4,112;-2,881;6,485;-4,402;44,154;-21,469
"permettre";-7,834;-13,529;2,229;-6,607;1,25;26,229
"seul";1,517;-10,551;-1,2;-0,95;3,851;2,227
"espèce";-6,939;-8,277;4,784;-11,076;29,236;-0,121
"bibliographique";-6,662;-0,894;-31,394;-22,394;295,739;-40,509
"trouver";-5,538;-1,199;1,205;2,143;5,913;-4,403
"créer";6,516;5,663;9,161;-0,026;-30,235;-0,685
"carte";1,44;-6,619;-24,853;-27,133;1,497;83,749
"suivant";-10,019;-2,718;-2,397;-6,649;45,12;0,195
"service";61,065;247,052;-21,496;-20,717;-26,952;-33,641
"littéraire";0,159;-3,696;0,782;172,276;-23,449;-35,078
"p";33,036;0,235;-5,944;1,19;-0,139;-11,991
"lire";-1,623;-5,93;23,061;20,104;-15,19;-1,209
"national";1,272;360,319;-28,212;-11,512;-7,821;-36,555
"lecteur";0,201;-0,549;61,431;-8,68;0,2;-24,291
"ficher";-11,111;-6,038;-32,209;-32,105;351,745;-27,621
"éditeur";271,613;1,832;-31,806;-19,051;0,012;-33,358
"littérature";-1,869;-6,503;10,312;170,917;-25,145;-34,392
"part";0,122;0,586;11,861;-0,001;-4,492;-3,302
"connaissance";-16,843;-2,564;194,376;-4,401;-0,258;-34,095
"film";-1,834;-1,283;-13,57;-13,4;-33,871;228,948
"place";-0,673;-1,231;-8,074;-3,423;35,093;-0,287
"revue";101,646;-2,334;-27,114;-6,077;26,337;-31,305
"société";12,682;145,159;0,721;-7,01;-41,361;-21,355
"loi";-0,146;2,601;99,561;-5,387;-8,906;-25,562
"plan";-7,065;2,471;-1,009;-15,762;15,53;1,082
"question";-2,324;10,708;3,054;-4,353;4,348;-12,738
"manuscrit";-0,433;-5,382;-20,668;-0,326;31,157;1,407
"fois";0,93;-0,002;0,435;-3,676;0,108;-0,001
"critique";0,011;-4,518;9,96;7,798;3,983;-34,668
"but";-10,734;7,391;22,01;-1,888;1,86;-18,006
"type";-2,377;-0,09;1,209;-18,81;17,092;-0,02
"technique";-6,721;20,211;32,52;-15,376;-8,801;-0,076
"association";-0,134;476,017;-22,23;-8,672;-24,548;-33,899
"sentir";-14,441;-5,052;58,831;13,83;-15,256;-1,332
"répertoire";-12,435;1,074;-20,489;-22,811;224,836;-34,003
"machine";-11,768;-9,871;-4,92;-14,142;-20,431;251,619
"musique";-3,65;-8,44;4,078;19,91;-17,47;7,588
"exprimer";-12,074;-9,455;25,899;20,919;-4,335;-1,121
"complet";-3,842;-4,851;-2,803;-3,923;94,403;-14,221
"petit";0,192;-5,935;-7,497;-3,089;-3,117;60,151
"organisme";-7,872;302,974;-12,403;-29,467;1,497;-32,378
"rendre";-2,808;-1,556;-0,752;-0,772;-0,014;17,387
"valeur";-0,167;-1,951;38,413;-2,022;-2,576;-1,555
"produire";-0,848;-7,675;59,034;2,218;-24,574;0,001
"signe";-18,367;-13,303;-5,919;-1,457;-15,251;203,317
"pari";242,059;2,771;-26,385;-6,26;-14,983;-9,391
"social";-3,659;7,743;146,013;-1,572;-26,721;-28,257
"français";93,579;-3,187;-20,095;15,687;-13,368;-3,422
"musée";0,337;132,209;-19,769;-2,756;-1,721;-10,225
"instrument";-9,999;0,076;35,763;-10,729;-7,76;7,582
"france";304,766;-1,621;-21,433;-0,223;-24,554;-10,48
"tableau";-16,293;-4,942;-2,343;-6,956;29,363;9,634
"of";0,111;0,042;-1,722;-4,75;12,637;-1,35
"photographie";-9,743;-5,499;-15,279;-21,427;-24,943;316,77
"développement";-4,695;0,076;86,344;-2,733;-6,742;-7,926
"archive";0,215;274,241;-26,249;-20,512;-0,321;-25,325
"règle";-14,599;-0,774;-0,037;-1,775;55,669;-8,151
"agir";-7,216;0;21,204;-6,789;1,29;-0,992
"notice";-13,192;-16,498;-22,616;-23,694;364,687;-31,203
"procédé";-4,797;-8,41;-3,161;-5,638;-17,164;158,082
"exister";0,281;5,523;-0,088;0,124;-1,633;-1,17
"propre";-1,372;0,076;8,347;-0,069;0,653;-6,807
"monde";4,947;4,47;-1,334;12,3;-26,415;-0,006
"article";3,705;-12,569;-20,741;-11,834;168,721;-29,476
"année";34,756;0,009;-7,827;-5,273;2,784;-4,538
"fin";-4,345;-1,283;-2,322;-4,3;38,523;-0,653
"passer";-0,104;-6,301;4,06;35,566;-23,36;0,234
"encyclopédie";-0,753;-0,012;-9,036;-7,701;108,073;-27,519
"feuille";1,719;-13,78;-26,479;-20,563;54,084;8,369
"mondial";0,923;315,419;-10,611;-14,486;-16,374;-25,568
"simple";-8,353;-11,148;0,258;-2,292;0,085;33,515
"opération";-6,33;0,015;-0,875;-16,599;40,686;-0,225
"action";-3,311;-0,109;123,778;0,011;-26,258;-9,66
"exemple";0;-2,475;-13,353;5,124;13,053;-1,438
"réalité";-9,767;-5,964;130,717;-1,368;-13,716;-0,871
"note";-17,27;-10,865;-5,918;-5,902;57,087;5,967
"format";-0,015;-3,036;-20,893;-15,756;26,398;14,3
"division";-14,036;-2,387;-4,812;-15,754;155,973;-13,094
"expression";-15,559;-9,191;116,782;0,039;-19,228;0,129
"contenir";-2,783;-8,412;-0,563;-6,556;76,519;-7,346
"recherche";-2,446;14,453;-0,708;-10,143;16,885;-7,824
"classement";-12,577;-12,141;-20,157;-22,944;320,092;-26,53
"mouvement";-7,732;-0,155;4,482;-0,017;-30,134;45,758
"humain";-15,977;-8,927;183,157;3,45;-29,071;-6,563
"paraître";49,822;-1,081;-11,486;-1,08;3,339;-8,226
"matériel";-5,397;-2,28;4,898;-8,509;10,099;0,074
"disposer";-1,017;-4,001;-8,488;-5,888;44,934;0,012
"seulement";-1,395;-7,145;0,652;8,441;-0,01;0
"placer";-3,707;-7,02;-6,637;-12,383;69,83;0,075
"information";26,461;41,512;-1,543;-15,438;-0,379;-19,481
"langage";-6,691;-5,403;5,327;67,65;-15,76;-1,053
"historique";-2,869;-0,853;-0,616;20,947;4,179;-11,423
"documentaire";-6,179;5,218;-0,351;-12,7;41,68;-10,225
"cinéma";-3,077;-9,191;-0,731;-0,323;-34,126;137,031
"mesure";-1,642;0,181;15,239;-1,222;-13,785;4,354
"parler";-7,485;-8,574;-7,606;227,599;-34,05;0,073
"indiquer";-10,185;-17,104;-3,462;-15,818;167,612;-7,174
"administration";-0,103;425,409;-15,198;-19,701;-18,371;-25,078
"ligne";-7,486;-6,989;-15,149;-14,238;0,061;126,347
"librairie";286,305;8,749;-13,441;-14,734;-20,681;-22,461
"suivre";-0,808;-1,954;0,97;1,929;3,27;-4,816
"unité";-8,34;0,02;0,523;-5,686;29,7;-4,939
"possible";-5,524;-2,214;17,104;-10,031;10,161;-1,709
"pièce";-0,124;-0,749;-10,611;-1,093;5,452;6,028
"index";-2,824;-14,823;-22,253;-9,323;192,22;-11,076
"sorte";-4,638;-0,277;-3,054;0,582;5,702;0,339
"notion";-5,635;-1,196;15,207;-0,42;0,038;-0,145
"institut";-1,086;325,448;-16,663;-17,278;-3,383;-24,595
"i";-3,463;23,322;-7,87;-4,528;7,342;-1,01
"production";0,131;0,738;21,577;-0,431;-4,459;-6,159
"venir";-0,058;0,087;-0,995;0,303;-10,827;15,835
"problème";-4,631;0,437;61,292;-10,424;-5,098;-0,572
"exemplaire";128,886;-3,268;-23,282;-7,363;7,035;-14,761
"cours";11,534;12,73;-1,792;1,397;-4,786;-10,658
"représenter";-3,17;-0,438;0,006;-1,234;-10,082;41,183
"imprimerie";19,916;-1,23;-6,357;-4,187;-16,092;33,584
"fonction";-4,744;17,112;13,553;-9,088;0,087;-7,785
"déterminer";-8,373;-0,027;46,069;-11,698;5,577;-11,114
"base";-6,393;-0,001;5,767;-12,834;7,927;0
"domaine";-11,813;41,678;46,069;-1,949;-21,71;-7,066
"dernier";11,625;0,006;-9,914;1,368;0,001;-1,061
"commun";-1;18,216;5,781;-0,711;-0,083;-15,86
"série";-7,234;-0,453;-2,541;-12,015;72,058;-3,541
"dictionnaire";-0,981;-7,222;-13,087;-0,018;88,553;-13,378
"besoin";-2,27;2,585;18,238;0,301;-2,187;-8,899
"usage";0,026;0,192;-0,136;-0,098;-2,821;3,794
"pratique";-0,475;0,871;46,966;-6,942;0,02;-19,653
"oeil";-10,31;-11,388;0,552;0;-10,277;69,147
"reproduction";-3,207;-7,958;-7,757;-4,395;-4,522;113,835
"distinguer";-5,681;-4,073;0,488;0,595;7,692;-0,452
"moderne";-0,083;0,3;-1,529;52,978;-13,321;-2,465
"compte";18,232;0,029;-0,731;-4,402;5,173;-12,242
"enseignement";-7,268;134,617;0,172;-0,018;-21,149;-8,335
"condition";0;1,091;34,562;-3,956;-9,761;-1,438
"âge";-11,402;-10,736;-0,109;150,48;-20,79;-0,003
"principal";-5,215;-0,617;-1,357;-3,025;42,706;-3,722
"composer";-7,914;-5,837;-0,695;0,236;-0,637;31,394
"aller";-0,073;-0,617;-0,159;7,926;-2,418;0,207
"raison";0,071;-2,6;13,545;0,684;-3,861;-0,776
"prix";210,073;-5,022;-12,355;-15,415;-2,05;-3,126
"important";7,084;0,949;-0,713;-0,102;-0,005;-3,541
"commencer";0,295;0,077;-4,928;0,097;-0,005;1,406
"progrès";-0,609;0,123;49,182;-3,811;-19,572;0,129
"posséder";10,126;-0,051;-5,959;0,163;0,399;-1,474
"date";-2,101;-4,903;-20,297;-9,636;116,796;-2,992
"appeler";-1,568;-1,419;-2,433;0,258;-0,776;16,128
"tenir";0,008;5,297;4,431;-1,297;-0,958;-3,682
"impression";0,026;-8,094;-3,278;-7,036;0,167;34,706
"haut";-2,73;-2,457;-1,819;0,572;-3,613;28,757
"corps";-3,502;-0,025;5,541;-0,126;0,09;-0,275
"porter";-1,794;-1,645;-1,359;-8,957;46,626;-2,229
"office";-0,662;279,105;-19,9;-7,752;-2,983;-25,044
"logique";-7,285;-7,803;92,479;0,341;-2,421;-10,199
"genre";-1,222;-2,577;-0,42;36,152;-3,871;-0,102
"droit";16,907;30,867;-9,802;-0,046;-1,417;-13,836
"systématique";-9,496;-4,434;-0,633;-12,565;146,471;-24,553
"nouvelle";3,78;0,068;14,621;0,347;-8,697;-7,364
"importance";-1,455;-0,009;3,304;0,5;-0,05;-1,005
"nécessaire";-8,305;6,409;0,105;-4,15;10,161;-2,992
"considérer";-2,018;-2,646;22,143;-7,901;6,757;-4,699
"coopération";-13,996;290,641;-15,976;-19,695;1,509;-25,535
"the";23,656;-2,242;-2,923;-2,541;0,608;-0,351
"appliquer";-8,174;-6,09;0,387;-2,165;2,975;10,996
"numéro";0,398;-9,031;-22,253;-12,899;151,959;-14,494
"différent";-4,308;-0,263;1,572;0,034;0,766;-0,018
"cas";-1,697;1,125;0,294;-4,656;10,957;-4,073
"terme";-4,769;-7,124;24,575;-2,555;7,986;-4,884
"recueil";-0,152;-0,817;-16,893;-4,528;101,738;-17,422
"obtenir";-4,532;-4,09;-2,145;-7,013;-2,937;82,407
"notamment";0,586;16,802;-6,417;-5,574;0,802;-0,396
"notation";-9,761;-12,801;-1,285;0,278;0,591;28,982
"alphabétique";-15,65;-14,519;-21,854;-10,714;224,478;-6,448
"tendre";-2,386;0,007;24,624;-8,633;0,039;-1,052
"nature";-11,378;0,028;19,159;0,638;-1,416;-0,719
"moment";-6,736;0;38,055;-0,029;-1,916;-3,869
"main";-0,004;-10,075;-0,46;-3,322;-12,322;78,021
"suite";-0,668;-1,057;-0,267;-0,729;28,55;-9,195
"reproduire";-2,824;-5,964;-8,543;-9,323;1,815;55,47
"organiser";2,12;190,269;-5,959;-6,467;-13,997;-18,607
"guerre";191,128;0,203;-4,362;-1,213;-34,134;-6,448
"disposition";-1,62;7,968;-5,214;-2,497;12,988;-3,015
"appareil";-5,877;-5,337;-16,697;-14,053;-15,677;238,539
"allemagne";339,629;-3,637;-11,987;-4,029;-25,535;-9,744
"relatif";-1,222;13,234;-1,463;-6,422;18,371;-12,016
"parole";-7,93;-5,335;0,773;57,21;-18,705;2,138
"décimal";-15,793;-16,917;-22,053;-16,881;322,198;-22,461
"bibliologie";-6,307;-5,467;246,662;-10,509;-9,686;-18,681
"époque";-4,802;-8,776;1,783;46,263;-7,158;-0,002
"développer";-2,618;5,313;5,73;-4,469;-0,086;-0,428
"continuer";0,144;-3,424;0,506;4,441;0,007;-1,882
"alphabet";-9,06;-7,851;-7,538;1,997;-18,99;119,607
"recevoir";34,726;0,017;-4,5;-1,977;-1,038;-0,423
"description";-6,177;-5,335;-0,346;-3,936;56,077;-3,338
"peuple";-0,897;-2,092;-3,956;192,145;-25,829;-8,534
"effort";-3,868;0,271;58,61;-0,046;-3,546;-13,836
"degré";-3,121;22,344;0,452;-3,45;1,188;-7,394
"conserver";0,096;0,423;-1,271;-3,095;0,421;1,214
"analyse";-5,129;-2,181;1,553;-2,285;43,4;-14,977
"statistique";0,174;10,312;0;-11,392;4,645;-5,835
"source";-0,116;-0,311;-2,807;-0,445;33,225;-11,361
"offrir";6,178;1,669;0;-2,234;0,039;-4,216
"indication";-7,886;-10,647;-4,94;-5,715;157,819;-19,301
"allemand";93,444;-0,001;-19,864;0,012;-3,368;-3,674
"résultat";-3,436;-1,116;56,8;-10,509;-0,132;-1,754
"politique";23,436;0;-0,122;22,333;-16,969;-11,582
"intérêt";2,146;32,355;-3,935;-0,018;-2,413;-5,692
"courant";-0,421;4,614;-6,232;-5,715;2,385;2,21
"composition";-3,546;-7,21;-0,149;0,478;-5,81;38,666
"organe";0,938;103,701;-1,784;-9,104;-7,567;-6,401
"long";-5,375;-9,612;0;3,972;-0,028;8,77
"couleur";-13,229;-9,907;-8,376;-13,786;-3,871;191,662
"traduction";0,214;-3,124;-13,184;72,85;-0,016;-8,685
"réunir";1,555;7,48;-10,343;-9,748;30,136;-12,693
"nombreux";0,416;-0,716;-0,035;-1,465;-0,002;2,219
"dessin";-12,092;-10,737;-6,981;-8,455;-20,942;246,951
"latin";-6,307;-10,888;-14,757;145,677;-23,636;9,217
"évolution";-10,183;-4,193;153,227;-1,29;-7,07;-10,669
"théorie";-7,664;-6,403;119,215;-1,137;-4,085;-6,759
"institution";-3,125;261,093;-8,552;-8,16;-10,32;-12,242
"h";0,51;1,337;-3,501;-3,291;5,462;-0,58
"caractéristique";-7,25;-4,682;1,326;-5,996;48,966;-6,03
"administratif";-5,129;169,509;-13,183;-13,101;0,197;-9,401
"étudier";-1,593;-0,031;72,457;-2,179;-6,042;-7,625
"établissement";-3,545;93,384;-12,895;-12,528;6,16;-8,176
