"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"aspect";-2,678;0,14;4,9;-2,929;-0,081;0,646
"référence";-9,825;-4,724;-13,72;-5,908;155,081;-12,324
"prêt";9,978;21,979;-5,609;-5,752;-0,714;-1,786
"exposition";0,027;16,449;-1,966;0,005;-0,538;-2,377
"conception";-4,321;4,304;16,239;0,296;-6,71;-2,146
"vérité";-1,088;-4,003;41,996;10,649;-8,402;-10,44
"library";14,406;2,561;-3,899;-3,39;0,308;-2,652
"intelligence";-1,17;-0,239;75,508;-0,201;-8,103;-10,898
"influence";-1,699;-3,299;19,533;22,391;-9,826;-5,273
"employé";4,211;0;-7,266;-1,871;-9,536;29,044
"détail";-0,673;-10,071;0,481;-0,881;8,885;0,099
"classe";-1,45;-4,558;-1,395;2,011;18,475;-4,13
"beau";-1,34;-4,19;0,176;33,382;-2,286;-1,403
"tour";0,074;-1,296;4,342;0,959;-10,044;1,905
"qualité";-2,939;-0,476;15,517;-0,974;-5,487;3,099
"importer";-0,951;-1,302;1,231;-7,848;2,304;2,495
"gouvernement";49,361;39,719;-9,519;-1,227;-18,374;-6,97
"existence";-4,268;-0,187;18,801;0,061;0,474;-8,652
"disque";-0,387;0,002;-10,369;-9,016;0,877;26,351
"consacrer";-0,808;3,284;-1,922;-1,049;15,372;-8,208
"compléter";-1,025;0,053;-3,365;-10,03;25,082;-0,081
"réduire";-0,001;-2,82;-0,845;-0,037;-0,881;12,274
"romain";-5,239;-4,19;-12,931;51,587;-8,672;14,562
"phrase";-5,034;-3,332;-4,836;10,397;1,464;1,632
"inventaire";-3,899;0,618;-7,083;-7,354;77,783;-14,062
"fixer";-0,13;-0,816;-0,759;-3,656;-0,765;20,574
"dépôt";15,763;70,399;-11,027;-11,586;-0,611;-11,847
"double";-4,975;0,398;3,591;-3,516;-0,052;2,129
"distribution";3,031;34,288;-7,083;-7,354;1,428;-7,987
"concevoir";-2,462;-0,065;40,188;-1,657;-2,467;-2,39
"commercial";20,071;23,859;-2,167;-3,187;-4,307;-6,97
"éviter";-6,275;-4,979;0,186;-6,05;0,004;32,406
"synthétique";-7,707;-1,597;4,901;-9,358;45,245;-10,921
"graphique";-2,145;-7,441;0,287;-4,981;-1,211;38,678
"dossier";-5,504;-0,09;-11,027;-11,586;122,734;-14,062
"considérable";14,083;-2,236;-0,683;-0,592;2,304;-4,15
"comparer";-6,275;-2,133;32,412;-0,383;0,004;-2,299
"utilisation";-3,534;4,24;0,228;-11,072;11,952;-2,095
"rapporter";1,123;0,002;-1,835;1,703;0,877;-3,374
"jeu";-4,899;-5,368;1,205;5,404;-16,454;26,358
"fonder";10,415;11,028;0,931;1,198;-15,116;-9,822
"direct";-4,712;-1,337;4,151;-0,509;-0,145;3,723
"naître";0,123;-0,333;2,024;29,447;-14,475;-3,275
"avantage";-3,899;-1,923;-1,803;-0,084;13,961;0,064
"atteindre";-0,238;-8,038;47,59;-0,404;-15,116;1,385
"atlas";-4,062;-0,901;-11,156;-9,7;54,476;0,103
"vrai";-2,706;-8,709;9,315;65,477;-9,912;-7,54
"publicité";67,546;1,125;-6,178;-0,577;-4,884;-5,316
"psychologie";-2,939;-6,847;189,375;-4,374;-10,523;-14,516
"procéder";-0,929;-0,124;17,625;-1,951;-0,096;-1,542
"possibilité";-6,968;0,334;30,624;-6,863;-0,088;-0,668
"observation";-6,552;-7,144;73,872;-0,123;-1,608;-3,76
"enregistrer";-3,534;-4,058;-0,759;-2,428;0,079;26,684
"désigner";-0,074;0,095;-7,997;-1,252;3,595;2,348
"cadre";-9,119;0,334;-0,759;-8,842;52,004;-5,722
"blanc";-6,414;-6,995;-9,661;-6,212;-7,262;153,962
"retrouver";-1,74;-2,133;6,431;0,014;6,078;-7,992
"rester";0,693;-5,545;10,588;-0,201;-6,531;2,129
"r";2,109;0,681;-0,429;3,05;-1,483;-2,31
"précis";-1,28;-0,523;6,463;-0,878;0,06;-0,066
"milieu";-4,712;-2,358;16,878;-0,509;-4,643;5,071
"inscription";-2,042;-5,403;-7,997;-6,537;1,033;48,575
"imposer";-1,265;-0,211;8,681;2,417;-10,984;0,642
"directement";-0,279;-0,093;12,877;-0,383;-6,985;0,604
"diffusion";1,105;23,54;7,217;-2,676;-8,959;-7,767
"voie";-3,805;7,615;-0,514;1,369;-2,049;0,211
"religieux";-0,074;-3,796;-6,178;123,212;-9,548;-5,316
"exact";-6,552;-3,666;34,034;-1,157;-0,945;0,101
"enregistrement";-6,275;1,529;0,612;-6,05;-0,291;9,432
"définir";-3,17;-1,105;17,39;-0,009;0,772;-5,76
"colonne";0,589;-3,152;-11,353;-7,659;23,013;1,57
"choix";-1,088;-1,43;-1,245;-4,828;26,239;-0,499
"artiste";-2,145;-5,545;-0,233;49,556;-9,845;0,679
"aider";-4,975;0,066;15,471;0,386;-1,937;-1,166
"adopter";0;-0,816;-4,928;-0,723;21,273;-2,095
"transformer";-0,507;3,822;0;-2,314;-5,631;8,146
"transformation";-2,939;0,007;12,877;-4,374;-4,17;4,361
"tirage";66,747;-4,979;-9,466;-10,214;0,927;-0,042
"sentiment";-2,31;-6,446;68,54;4,313;-14,14;-4,253
"renseignement";0,365;1,385;-7,619;-3,104;25,544;-8,219
"postal";53,477;1,055;-8,882;-9,7;-9,608;4,005
"intérieur";-1,17;1,896;2,419;-0,009;-1,937;-0,016
"intéresser";2,197;-0,044;2,024;0,742;-0,006;-9,362
"industrie";2,371;21,634;0,663;-3,656;-6,798;-2,095
"fournir";2,279;0,271;-1,629;0,03;0,019;-0,647
"destruction";48,257;-0,595;0,019;-3,341;-1,691;-4,776
"copie";-2,592;-3,026;-5,11;-0,221;0,359;22
"angleterre";177,385;-5,687;-10,441;-0,723;-10,143;-3,106
"acte";-0,929;2,431;0,001;11,228;-4,405;-1,542
"éventuellement";-6,829;-0,239;-4,76;-4,981;53,859;-1,952
"étendue";-0,432;-0,672;-10,051;-4,828;32,593;-0,004
"unique";-0,234;0,826;-0,046;-4,224;8,201;-2,146
"union";0,027;111,353;-3,14;-1,19;-10,67;-8,543
"tirer";2,279;-4,838;-9,271;0,03;0,193;8,012
"supérieur";-2,253;8,052;-0,44;-0,099;0,284;-0,724
"fond";-2,592;-3,026;9,841;-0,72;-0,106;0,986
"correspondant";-2,592;-0,025;-2,374;-7,49;24,155;0
"contraire";-1,74;-6,847;10,482;36,109;-12,563;-1,413
"conférence";-0,1;99,203;-12,536;-0,009;-9,845;-1,952
"combinaison";-0,707;-4,698;0,039;-0,801;-1,729;21,027
"choisir";-1,839;-5,12;-1,873;6,867;12,701;-3,579
"branche";3,4;66,792;-0,945;-4,374;-4,17;-12,127
"apprendre";-6,581;-1,822;0,019;63,716;-6,631;-1,322
"vaste";0,013;13,641;11,124;-0,16;-11,447;-5,316
"surface";-7,566;-5,958;-6,306;-9,187;-10,67;167,979
"partir";9,021;-2,776;-3,296;7,333;-7,218;1,307
"multiple";-1,45;-3,026;-0,213;-2,572;11,381;0,431
"fr";199,509;-1,488;-6,367;-7,477;-9,627;-6,226
"enfant";-0,837;0,046;-0,192;3,693;-1,2;0,221
"conservation";-1,642;1,684;-2,657;-5,888;27,962;-4,519
"civilisation";-3,175;0,13;7,441;33,724;-17,845;-3,76
"ville";14;1,385;-9,661;-0,444;-5,745;4,033
"total";5,015;-6,847;6,431;-4,374;0,927;-1,413
"réel";-5,448;-0,667;1,405;-3,486;-1,868;21,843
"relief";-5,036;-7,652;-7,718;-6,482;-9,732;155,626
"entendre";-1,74;0,217;-0,386;7,264;-2,077;0,202
"assurer";2,098;18,657;0,186;-7,996;-1,301;-2,299
"économie";-2,674;0,795;4,864;-2,358;1,573;-2,143
"mécanique";-3,296;-2,289;-0,246;-6,482;-7,806;73,399
"dégager";-1,503;-3,186;32,287;-0,56;0,669;-8,999
"comporter";-0,155;-0,307;-1,395;-5,566;2,323;5,464
"and";7,982;-0,896;-1,168;0,023;0,243;-1,443
"accompagner";-3,056;-5,12;-5,819;2,325;19,874;-0,35
"symbole";-3,212;-3,441;-4,485;2,516;0,414;8,571
"rapide";-7,848;-2,901;-0,002;-7,322;-0,317;46,68
"nécessité";-0,041;0,754;12,22;-0,426;-0,437;-6,421
"exiger";-1,357;-1,702;-0,165;0,117;0,137;3,047
"affaire";38,439;15,051;-4,935;-0,641;-9,305;-5,399
"vendre";206,872;-6,254;-8,688;-7,322;-3,263;-7,09
"typographique";-3,549;-5,81;-1,835;-6,817;-8,402;107,352
"réseau";0,048;162,646;-6,12;-9,016;-5,105;-12,813
"radio";0,027;2,623;-0,086;-3,486;-17,778;25,19
"multiplier";-0,09;0,559;0;-3,632;0,019;1,307
"large";-0,707;-1,914;3,927;0,955;-1,729;0,344
"guide";0,031;19,223;-0,928;-1,332;0,983;-9,172
"discours";-7,144;-3,728;-4,07;96,601;-4,59;-0,448
"conduire";-7,425;-4,003;57,756;-3,341;-0,962;-0,196
"bibliologique";-4,082;-4,49;111,804;-7,477;-0,421;-10,627
"échange";-0,01;112,392;-1,58;-4,609;-7,806;-7,843
"séparer";-3,805;-1,597;-0,514;-0,566;1,163;8,146
"proposition";4,735;-0,084;-5,267;-0,246;5,706;-2,484
"propagande";14,112;-0,068;-2,68;6,987;-9,732;-0,098
"individuel";-5,999;0,936;34,881;-2,703;-0,495;-4,324
"définition";-0,007;-0,523;6,463;-3,663;3,385;-3,979
"commerce";41,151;1,472;-1,966;-2,187;-4;-2,377
"belgique";138,629;0,399;-11,156;-3,926;-7,792;-5,609
"annonce";35,002;-0,837;-5,014;-5,813;8,142;-8,999
"adresse";25,427;-2,289;-5,749;-1,818;2,077;-1,049
"reconnaître";-2,478;-1,702;6,239;17,247;-4,484;-1,706
"précieux";0,175;-0,901;-0,674;3,224;-0,887;0,431
"poste";141,623;-0,068;-9,976;-6,482;-14,222;-0,098
"intermédiaire";5,138;8,489;0,005;-1,467;-6,922;-0,227
"expérience";-0,75;0,2;17,586;-0,561;-6,069;-0,051
"correspondre";-4,082;-2,787;-0,785;0,493;4,649;0,894
"américain";87,026;-0,459;-5,749;-0,901;-4,59;-3,009
"actuel";-5,861;-3,026;9,841;0,439;0,824;-1,048
"travers";-5,448;-4,141;14,234;4,052;-1,102;-0,256
"récent";2,004;0,161;0,006;-1,19;0,284;-1,431
"relever";-0,446;-1,495;-3,14;-1,19;16,131;-0,026
"rationnel";-1,606;0,579;0,732;-4,137;5,785;-1,461
"propriété";0,886;17,684;-2,238;-5,98;-0,907;0,065
"modèle";-4,082;0,017;-1,678;-0,025;3,26;0,894
"largement";-5,723;1,184;4,558;1,22;-0,317;-1,706
"combiner";-6,299;-1,597;0,074;-7,648;20,013;0,234
"successif";-0,142;-0,971;4,083;-0,086;0,265;-1,078
"rubrique";-3,17;-7,501;-9,779;-6,314;95,285;-2,83
"remplacer";-0,758;-7,351;-5,381;2,537;-1,841;27,627
"objectif";-2,797;0,152;32,287;-5,813;-1,483;-0,608
"libre";-0,918;0,331;-1,58;21,523;0,215;-9,959
"introduire";-1,71;-1,013;3,794;-4,293;0,093;2,664
"franc";123,245;-5,075;-5,197;-1,467;-13,237;-0,012
"encre";-1,503;-7,049;-9,189;-5,813;-10,586;139,219
"bois";-3,045;-7,351;-7,331;-8,332;-13,565;165,538
"âme";-2,797;-7,049;8,466;63,716;-15,462;-3,572
"vol";26,308;-0,447;-4,109;-0,833;-0,237;-0,199
"vivre";-0,232;-5,368;0,109;45,686;-9,421;-0,367
"style";-1,961;-4,191;-1,722;73,645;-6,722;-0,466
"révolution";22,548;-1,495;-4,586;12,709;-15,208;0,034
"photographique";-1,357;-2,901;-8,688;-9,529;-5,897;111,565
"jouer";-0,332;-5,663;-5,935;32,759;-4,846;4,343
"distance";-7,425;-2,531;-6,12;-6,817;-6,651;122,282
"bulletin";89,757;7,538;-9,779;-8,503;-3,074;-7,61
"quantité";8,786;-4,636;3,576;1,119;-3,122;-1,978
"proprement";-0,682;-0,282;-0,102;-0,64;1,128;0,976
"noir";-2,921;-3,32;-9,386;-4,137;-13,237;134,682
"maître";1,012;-0,23;-3,397;17,984;-2,425;-0,608
"masse";0,572;0,331;-1,58;6,987;-7,806;0,565
"imprimeur";36,133;-0,396;-9,779;-2,912;8,137;-9,718
"facteur";-0,537;1,772;54,904;-3,825;-10,266;-4,891
"désirable";-0,446;16,449;-3,14;-3,486;13,688;-13,056
"convention";-4,082;100,394;-8,6;-2,09;-0,421;-4,465
"concerner";-1,606;-0,01;-1,219;-2,633;25,919;-3,768
"complexe";0,288;0,144;24,3;-1,576;-4,647;-3,628
"bas";-0,01;-3,728;-5,749;-4,609;16,381;2,139
"élaboration";-6,018;4,034;6,165;-7,307;11,104;-10,384
"voix";-6,159;-4,49;-2,906;20,872;-9,627;22,741
"tantôt";-0,031;-2,064;0,7;0,003;0,023;0,14
"suffire";-0,01;-5,516;-4,07;-0,901;-0,704;32,78
"saint";-1,816;-7,501;-7,524;91,796;-5,815;0,012
"rédaction";-0,469;0,265;-0,289;-3,671;20,013;-6,456
"perfectionner";-0,918;-1,2;19,781;-1,818;-3,3;0,565
"ordinaire";0,264;-0,444;-1,257;-0,773;-1,611;11,258
"indépendant";0,013;6,583;0,284;-2,495;-0,04;-1,322
"emploi";-1,303;-6,748;-1,814;-2,223;-4,468;64,722
"desiderata";-4,353;12,46;0,365;-5,646;3,763;-3,377
"analytique";-6,44;-6,898;-1,953;-5,646;89,951;-6,685
"maximum";-1,724;0,998;15,051;-6,454;-2,717;0,453
"individu";-2,31;-2,655;82,935;-0,009;-9,309;-5,998
"difficulté";-4,49;-1,822;23,912;-2,495;-0,291;0,109
"communication";3,072;3,906;0,615;-0,723;-13,565;0,824
"architecture";-2,61;1,984;-0,421;2,558;-4,321;2,53
"utilité";-4,626;1,42;15,931;-5,98;1,954;-5,323
"travailler";2,39;0,865;8,048;0,341;-4,846;-8,076
"perdre";-1,503;-7,049;0,019;70,526;-3,597;-5,107
"méthodique";-6,581;-1,822;-5,014;-7,99;99,564;-8,999
"mètre";1,55;-3,476;-7,226;-6,283;-9,64;75,359
"extérieur";-2,797;11,805;4,484;-0,56;-3,597;-0,608
"exercer";-0,837;-0,396;14,334;15,502;-11,549;-4,166
"démonstration";-0,77;3,203;-3,516;-0,399;-0,862;6,409
"début";0,107;-1,2;4,691;-1,818;-7,806;8,314
"der";52,711;1,746;-2,709;-3,663;-1,82;-5,902
"conventionnel";-2,31;-2,655;-1,545;-3,364;-0,852;41,543
"bruxelles";3,605;54,044;-9,189;-2,495;-0,291;-8,999
"baser";-2,797;-0,837;6,318;-0,11;-0,04;0,109
"vivant";-2,431;-1,488;0,564;20,872;-7,575;0,317
"transmettre";-0,111;-0,23;-2,094;11,623;-15,462;10,823
"soin";-0,608;-0,837;-2,094;-2,495;34,891;-5,107
"résumer";0,002;-4,792;-0,337;-1,752;20,831;-2,057
"poète";-4,353;-6,898;-4,832;184,728;-10,266;-6,685
"porte";0,886;-0,924;-5,197;0,001;1,128;0,976
"permanent";0,147;37,461;-0,677;-8,503;0,302;-7,61
"penser";-3,14;-3,476;16,033;16,399;-9,64;-0,818
"pagination";-5,877;-6,296;-8,207;-7,136;120,889;-7,803
"mois";51,275;-4,053;-5,791;-3,06;-0,163;0
"liaison";-2,31;14,65;0;-7,307;1,451;-0,814
"géographique";-2,31;-4,344;-4,289;-7,307;22,57;4,803
"façon";-2,31;-2,655;0;-1,959;0,722;8,791
"essai";5,5;-0,837;-3,397;0,249;-0,772;1,145
"commission";7,335;113,704;-9,386;-5,98;-10,906;-7,147
"bibliothécaire";-2,191;98,282;-1,415;-3,211;-1,451;-10,142
"éducation";-1,606;1,42;0,005;28,85;-8,802;-2,481
"éditer";29,92;-0,837;-5,014;-5,813;2,239;-1,322
"structure";-4,894;0,053;31,831;-5,942;-0,061;-1,421
"scène";-2,31;-6,446;-6,175;-0,931;-11,598;106,348
"projeter";-0,111;-3,186;-6,945;-5,813;-8,493;91,763
"populaire";12,356;2,184;-2,906;5,86;-11,926;-0,933
"philosophie";-0,303;-2,904;12,974;2,558;-0,748;-3,76
"fonds";0,052;51,597;-8,796;-2,223;-0,145;-3,185
"code";-0,587;30,105;-7,226;-4,155;3,473;-3,02
"antérieur";-1,606;-1,937;10,288;-5,98;11,644;-5,323
"xviiie";-0,608;-3,186;-6,945;30,117;-6,631;6,502
"section";-2,31;37,226;-6,175;-5,146;8,866;-8,041
"puissant";2,109;0,681;20,195;-2,495;-10,586;-1,322
"introduction";0,167;2,663;-8,207;-4,98;23,963;-5,77
"contrôle";10,503;23,547;-5,983;-4,98;-3,694;-0,199
"consulter";-6,44;0,204;-8,993;-3,825;65,813;-6,685
"conscience";-3,946;-6,446;82,935;4,313;-11,598;-8,041
"apparaître";-3,007;-5,393;0,265;-0,329;-2,257;25,804
"reposer";-3,946;2,414;1,54;-1,959;-0,046;0,416
"peinture";-0,667;-5,694;-5,217;6,466;-7,727;31,449
"peine";-0,052;-0,671;0,074;16,253;-4,468;-0,423
"mobile";-4,217;-4,636;-4,65;-3,671;11,789;12,308
"formation";-6,299;24,604;1,17;-2,223;-0,001;-3,185
"faux";-1,724;-5,694;-0,007;65,421;-0,799;-9,172
"difficile";-3,676;-2,395;5,093;0,001;-0,163;1,463
"affiche";0,057;-1,889;-7,226;0,092;-7,413;38,197
"événement";-1,839;-0,258;0,08;22,327;-2,955;-1,078
"électrique";-3,946;-4,344;-2,745;-7,307;-11,598;122,898
"stade";-0,5;2,351;9,407;-2,377;0,072;-6,267
"répandre";-0,014;0,415;1,54;4,313;-7,271;-0,266
"quotidien";185,691;-6,296;-5,983;-3,211;-8,991;-4,043
"pur";-0,096;-2,341;26,802;-0,011;-3,208;-1,52
"préparer";2,32;0;-0,356;1,976;-1,314;-0,512
"produit";0,082;2,184;0,117;-3,517;-1,822;1,763
"philosophique";-2,072;-6,145;3,359;57,683;-3,444;-9,899
"monographie";-1,611;-3,476;-3,225;-6,283;63,655;-4,643
"généralement";-6,018;0,415;-2,745;0,598;-0,046;6,647
"famille";-0,75;0,2;-0,345;8,412;0,265;-5,091
"entrer";-0,287;-0,044;11,684;-0,224;-1,451;-0,701
"entreprise";35,35;2,414;-0,172;-5,146;-5,484;-1,661
"correspondance";21,688;0,063;-5,983;-3,211;2,776;-4,043
"tâche";0,003;13,543;0,407;0,994;-4,647;-5,316
"monument";-1,016;-6,296;-0,594;6,784;-5,202;14,886
"matériau";-1,611;-5,543;1,761;-1,214;20,601;-4,643
"immédiatement";-2,191;1,373;-0,124;-1,829;1,709;0,113
"esthétique";-5,315;-3,62;18,661;15,439;-7,727;-0,945
"classique";-0,836;-5,995;-1,164;13,689;6,883;-5,316
"cité";-0,587;2,453;-5,027;4,736;1,208;-3,02
"xixe";-2,431;-1,488;-1,678;13,76;-0,421;0,894
"sociologie";-0,188;-4,641;114,41;-5,261;-7,691;-7,477
"situation";-1,016;57,961;-4,109;-0,001;-2,444;-4,043
"parvenir";-0,405;-0,103;1,346;5,86;-7,575;0,317
"lien";-1,173;16,022;-0,421;-0,773;0,122;-2,244
"intervenir";-0,142;0,2;8,351;-4,484;0,265;-2,086
"imaginer";-5,175;-5,543;0,189;-0,401;-5,478;43,522
"humanité";-6,018;-2,655;24,67;35,852;-9,309;-10,384
"durée";-1,499;-1,765;7,706;-0,329;-5,185;6,476
"concentrer";-0,142;3,531;-0,345;-2,76;0,787;-0,051
"amener";-0,667;19,223;-3,4;-1,332;-4,102;3,635
"rédiger";-1,388;0,538;-1,533;0,203;13,551;-8,445
"pierre";-0,186;-1,069;-5,599;-1,576;-4,647;47,813
"mort";7,179;-2,655;-6,175;8,678;-5,484;2,011
"marque";-0,142;0,854;-7,618;-0,086;2,663;0,343
"magasin";7,666;33,325;-5,983;-4,98;-0,715;-4,043
"inventer";-5,175;-3,476;-0,816;-0,401;-7,413;61,582
"intéressant";4,062;1,746;-0,511;0,279;-0,903;-2,434
"facile";0,195;-5,092;-1,393;-0,201;0,415;5,533
"détruire";3,329;-1,274;-0,594;12,137;-6,968;-0,003
"découverte";-3,946;-6,446;20,729;8,678;-3,949;-0,814
"conséquence";-1,28;-0,523;45,298;-0,878;-1,82;-5,902
"cesse";-2,31;-0,07;28,954;0,115;-1,633;-5,998
"attacher";-6,159;1,057;3,916;-1,032;2,117;-1,818
"animal";0,121;-1,943;-0,705;0,78;-2,017;5,974
"actuellement";1,364;0,266;-0,928;-4,319;1,874;-0,022
"église";-1,611;-0,782;-7,226;102,766;-9,64;-1,746
"édifice";-0,587;35,723;-1,822;-1,214;-1,425;-0,818
"volonté";-5,596;-2,267;7,749;-0,126;0,175;0,25
"varié";0,067;-0,179;-0,753;-4,92;6,369;0,032
"tête";-0,587;-5,543;-1,822;-2,465;24,216;-0,005
"travailleur";-2,072;53,288;-3,93;-3,06;0,471;-5,543
"timbre";16,92;-5,092;-0,062;-2,032;-1,82;2,199
"rattacher";-3,407;8,031;0,514;-2,76;0,02;-0,051
"rapidement";-0,234;-0,023;5,093;-1,701;-4,923;4,006
"période";-5,456;-0,971;17,586;11,267;-4,373;-3,424
"orthographe";-2,348;-2,622;-6,05;34,686;-7,691;7,439
"new";68,653;0,133;-5,072;-4,41;-2,416;-2,279
"liberté";5,274;-1,274;3,037;15,394;-11,271;-5,77
"imagination";-4,894;-5,242;3,891;58,867;-8,989;-2,627
"entr";-1,069;17,082;0,736;-1,752;-0,134;-3,543
"embrasser";-0,287;0,063;8,996;-4,98;2,776;-5,77
"dr";-0,021;1,531;-4,646;0,869;-1,068;1,9
"diriger";-2,191;12,057;0,005;9,267;-6,968;-2,623
"concentration";0,013;44,263;0,08;-6,624;-0,949;-7,088
"comité";12,548;44,263;-7,618;-4,484;-0,949;-9,414
"artistique";-5,315;-0,204;-1,97;23,556;-9,965;7,448
"tendance";2,262;-0,008;28,715;0,009;-10,618;-7,326
"susceptible";-4,052;-0,179;26,802;-4,92;0,134;-1,52
"sortir";0,034;-0,237;0,003;1,912;-2,078;0,301
"programme";-2,742;29,277;-2,709;-3,663;2,078;-2,434
"observer";-5,175;-1,889;16,033;6,994;-3,835;-0,818
"marché";73,857;0,099;-5,791;-4,815;-2,228;-2,441
"italie";65,873;-6,145;-5,791;0,001;-13,479;2,578
"extension";-0,51;0,434;2,014;-2,319;1,464;-1,581
"entrée";-0,103;-2,013;-0,928;-6,454;34,745;-3,221
"employer";-1,611;-3,476;-5,027;0,092;-0,659;28,589
"dresser";-1,839;-0,001;-2,121;-6,624;17,959;0,032
"couvrir";-0,75;0,854;-3,576;-1,453;0,265;4,881
"construire";-2,742;0,09;-0,511;0,279;-8,664;20,481
"constater";-0,186;-2,267;5,544;3,602;-0,469;-2,262
"classé";-3,273;-2,013;-3,4;-6,454;72,836;-6,85
"également";-3,273;-2,013;2,817;-2,612;1,874;1,175
"écran";-5,596;-5,995;-7,815;-4,649;-10,618;147,045
"transmission";-4,754;-0,045;4,314;-0,878;-8,664;16,735
"tracer";-4,754;-5,092;-2,709;-0,878;-8,664;86,621
"terre";-2,874;-3,189;-0,103;-0,001;-6,787;37,106
"sommaire";-4,894;-3,189;-2,879;-3,827;57,916;-2,627
"retenir";-1,28;3,359;0,046;-2,032;0,06;0,032
"personnage";-2,742;-5,092;-0,511;19,675;-0,903;1,098
"modifier";-1,388;-0,606;22,321;-0,262;-1,068;-1,421
"minimum";-0,069;6,484;-0,816;-4,155;5,043;-3,02
"idéal";-1,499;-3,332;17,08;1,757;-0,529;-2,822
"grandeur";-5,315;-5,694;-3,4;-6,454;-0,267;72,024
"goût";0,003;-3,908;3,707;40,994;-13,149;-3,628
"erreur";-4,894;-5,242;1,113;-0,987;8,383;0,272
"désirer";0,264;-1,405;2,933;-0,147;-0,212;-0,03
"consultation";-5,737;-0,023;-2,429;-4,815;47,053;-3,835
"concret";-3,492;-1,791;2,524;-0,847;1,735;0,343
"conclusion";-3,912;0,59;1,565;-2,694;5,006;-1,35
"collaboration";2,262;13,543;-3,752;-6,795;3,566;-5,316
"charger";8,732;13,543;-5,599;0,009;-2,018;-3,628
"capitale";0,057;1,158;-0,816;-1,214;-3,835;8,102
"arrêter";-0,234;0,609;0,97;0,226;0,104;-3,835
"thèse";-0,303;3,715;-0,421;-0,147;5,626;-7,961
"successivement";-1,724;-3,62;27,044;-1,332;-0,799;-0,022
"sembler";-1,724;-0,204;0,636;4,33;-5,772;2,236
"rome";7,582;6,484;-7,226;-0,401;-9,64;4,052
"préface";-0,667;-5,694;-5,217;0,482;39,333;-6,85
"portée";-5,034;-0,112;-1,676;0,724;-0,116;8,805
"phase";-3,912;-4,191;47,469;-0,001;-2,94;-1,35
"payer";116,621;-1,889;-5,027;-0,401;-9,64;-3,02
"ordonner";-4,473;-1,289;-2,372;13,768;8,53;-5,43
"marquer";1,473;-4,641;-0,996;-1,615;-1,218;16,753
"lit";-1,28;-0,523;0,464;0,279;-0,023;0,376
"industriel";0,364;22,501;-2,121;-0,561;-4,373;-0,051
"encyclopédique";-1,611;0,009;-5,027;-0,401;36,815;-8,929
"dépasser";17,91;1,529;-5,659;-0,011;-7,045;0,422
"droite";-2,742;-5,092;-2,709;-3,663;0,06;39,241
"contribution";-1,388;-3,189;-0,103;-5,942;31,874;-1,421
"constamment";-3,14;-3,476;28,543;-1,214;2,194;-6,612
"cliché";-0,967;-2,622;-6,05;-5,261;-3,758;74,728
"beauté";-1,388;-5,242;11,213;14,6;-8,989;-0,112
"accroître";0,664;0,026;21,023;-1,099;-3,571;-4,42
"vision";-2,742;-5,092;-0,062;0,002;-4,606;33,984
"trait";-2,348;-2,622;-0,261;-0,061;-7,691;40,561
"répartition";-0,096;5,49;-1,881;-2,854;2,758;-0,581
"museum";13,124;2,183;-2,05;-3,56;0,173;-2,878
"instruction";0,093;17,109;-3,052;-0,01;-0,116;-2,822
"examiner";-2,742;0,09;9,046;-2,032;3,385;-5,902
"coup";-0,587;-3,476;3,145;1,537;-0,659;0,12
"contemporain";0,057;0,009;-0,209;6,994;-1,425;-0,818
"censure";69,042;-1,523;-0,062;-0,878;-8,664;-2,434
"book";21,309;-0,643;-1,184;-2,711;0,001;-0,485
"bibliologiques";-4,193;-4,491;80,496;-1,48;-1,035;-7,235
"bible";-0,007;-5,092;-4,457;40,825;-0,023;-2,434
"berlin";112,956;0,138;-6,442;-3,501;-8,339;-3,76
"antiquité";-4,754;-1,523;-4,457;69,609;-6,476;0,032
"amérique";71,589;-1,765;-7,03;0,141;-5,185;-1,581
"élaborer";-0,303;12,138;1,539;-5,601;0,122;-3,76
"riche";5,955;-1,643;-0,103;11,153;-4,894;-1,421
"préparation";-1,388;-0,606;2,292;-2,175;1,752;0,009
"plume";-4,613;-4,942;0,087;-3,501;-10,84;74,816
"lutte";-0,437;-0,606;26,866;0,869;-8,989;-1,421
"journaliste";22,776;8,792;-1,257;0,013;-8,339;-5,666
"inscrire";-3,007;-3,332;-1,676;-1,099;22,059;0
"gros";4,27;-4,191;-1,722;-1,217;-0,699;9,909
"fascicule";-1,173;-2,904;-6,442;-5,601;78,24;-7,961
"entreprendre";11,313;1,335;-3,052;-0,01;0,002;-4,42
"constitution";-2,218;30,222;2,38;-1,48;-2,078;-4,96
"citation";-3,772;-4,041;-3,144;5,032;17,449;-2,484
"centrale";1,754;101,969;-4,836;-3,991;-7,099;-8,687
"central";-1,388;53,044;-2,879;-5,942;0,021;-2,627
"catalographie";-4,613;-0,444;-6,442;-5,601;78,24;-7,961
"élevé";14,678;-2,763;-0,01;0,035;-5,858;0,649
"échelle";-2,218;-2,481;-0,192;-3,015;-3,481;43,078
"simplement";-2,218;-2,481;-2,042;-0,485;1,219;11,054
"réserver";3,699;0,053;-0,608;-3,827;-0,061;0,903
"réforme";1,094;3,715;-4,268;1,218;-2,802;0,071
