"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"international";-1,74337025923079;1,15776132654529;-0,104103314568193;2,18133102362983;2,30548738967614;-0,458399820273479;0,304420464441162;-0,027372808750901;0,573556732366231;0,606202267977552;0,335174625996133;0,117652914594822;0,000886165369280843;0,289804479898399;0,256481814141367;0,0108314611672548;0,00477689679097458;3,86221899836339e-05;0,0169570747002881;0,0189423249865829;0,00356375452020334;1,52752378232274;0,00831541143431617
"auteur";-0,627426111754601;-0,852741795029396;0,553885681924804;-1,03239187640004;0,181076431798593;-0,394752617500209;-0,536512665528559;0,348483779427436;-0,649541655757969;0,113926395604093;0,218348832318899;0,321021071941673;0,12617106392019;0,326501309897413;0,0079577219218275;0,00141667428849935;0,00261685664992979;0,00110404077040177;0,00383560601663261;0,000117996381662379;0,00359869329000926;0,681115974956681;0,00166950208927354
"bibliographie";-1,65170776732794;-0,978259932062438;0,160975230999677;-0,146588110416268;0,835947342510802;-0,784631373780962;-0,464715035911448;0,0764700748779045;-0,0696355812638347;0,397110508733574;0,712924431566787;0,199048245309309;0,00502098566701077;0,00310130617574697;0,0799050312811473;0,00795903669662303;0,0027919177298772;7,55983294766466e-05;6,26890340700838e-05;0,00203869345122191;0,00291738727879391;0,992305449658904;0,00287266403936902
"ordre";-0,84294848434041;-1,13745509396425;0,417450574805592;-0,664594818662688;-0,0887683159622983;-0,519962533420384;-0,701625358247553;0,257499316371101;-0,40994724117727;-0,0547556574484312;0,335656044986678;0,486444918024448;0,0610374418321854;0,115232870865384;0,00162872429130519;0,00231504010031724;0,00421526584790181;0,000567762332837715;0,00143903167047934;2,56727511809814e-05;0,00325804028440159;0,738053275506354;0,00177472829675376
"documentation";-1,22673321353303;0,228840542240943;0,379831925371606;1,70231270298387;1,2720781118202;-0,491971477078821;0,091774656738569;0,152328535092468;0,682698801742738;0,51015668339934;0,379821373632577;0,0105200507408775;0,0269995094830366;0,403950274088671;0,178708792054841;0,00519212287081477;0,000180680236364149;0,000497768767840112;0,00999823622803137;0,00558305972272557;0,00345020351833412;1,00970460786274;0,003517494200863
"catalogue";-1,58607925267629;-1,48746470292932;-0,0164506217895883;-0,785287412559663;0,377722751867325;-0,677056563893896;-0,63496054120842;-0,00702234862727251;-0,335219060661459;0,161240157484131;0,537544055552839;0,376296673136859;4,28768352569704e-05;0,0727765799174706;0,013339814557574;0,00696556980293785;0,00612632761962173;7,49327231737618e-07;0,0017075135260461;0,00039505100446515;0,00276889750711877;1,09736667364128;0,00333434408053974
"partie";-0,413046226801831;-0,94217831660171;0,258736990094465;-0,399694416866805;0,305525029564097;-0,351818283266661;-0,802514431482557;0,220383089751092;-0,340445680044463;0,260235500100107;0,161580518234389;0,669161019807176;0,0470113273430364;0,0835637491870225;0,0386833854283769;0,000549884277906116;0,00286114715092907;0,000215769983106405;0,000514908602944367;0,000300862163248455;0,00322310151459567;0,521240407021076;0,000875689484699809
"idée";0,802224087555809;0,596196285156295;1,28225084964984;-0,574948323698481;0,0713718419317679;0,464806391143008;0,345434459043324;0,742932553648029;-0,333123449641397;0,04135264546669;0,276163071721303;0,121401900614741;0,523135258318901;0,0783433084341596;0,000956460910894766;0,00140533228223266;0,000776186630754342;0,00359032379816688;0,000721847158001182;1,11234994251115e-05;0,0021836731128697;0,774366951795742;0,0013094268644931
"matière";-0,745924937601357;-1,5422110587773;0,179918923399177;-0,572076590330259;0,0589499515308044;-0,410746604323775;-0,849224799455475;0,0990730878061835;-0,315016303982125;0,032461030856793;0,20951161524124;0,712817287280478;0,00903785420268849;0,0680606793740215;0,000572563901572126;0,00190998704580897;0,00816446618169293;0,000111120415298532;0,0011234364787409;1,19290833525085e-05;0,00343273413343116;0,826656316350642;0,00234579548143378
"temps";0,386633038288142;0,374278605125766;0,443149218705356;-0,370849100028553;-0,242943739923251;0,468001396301529;0,453046926822909;0,53641161666447;-0,448895669648341;-0,294072151749387;0,29404501938156;0,219320210169087;0,286424174953799;0,149410265234658;0,0508003302608949;0,00050530838824416;0,000473531187539454;0,000663832573634836;0,000464893037418542;0,000199512453201054;0,00338032597872229;0,361681223259711;0,000442191620888964
"art";1,13305540056965;0,414662228714514;0,94220970377214;0,0133975151100115;-0,0534757084226807;0,739665798653088;0,27069415001172;0,615080509469289;0,00874598339042497;-0,0349092838347672;0,617139207036674;0,0657873736455695;0,316424268749354;4,76540080446732e-05;0,00060149656035703;0,00362203323258299;0,000485108735976133;0,00250463984819113;5,0640577706204e-07;8,06795066114933e-06;0,00282130566182765;0,731633344563413;0,00151020923373413
"collection";-1,38123226247572;-0,493710637470204;-0,226703319626485;-0,284694767698604;0,433315691639856;-0,878543961459564;-0,314028647492169;-0,144196481584998;-0,181082411565186;0,275613953306829;0,841613689508308;0,0855848863340989;0,016810820623567;0,0197473311463548;0,0362432723876731;0,00618236946733496;0,00078988978396929;0,000166547181254536;0,000262651870884571;0,000608457656643714;0,00324057089949863;0,763737706715911;0,00189020972528292
"lieu";-0,433256691289492;-1,03929275152828;0,0839297612017364;-0,219288438660354;0,211581376117179;-0,370461985189003;-0,888661303251397;0,0717652758199613;-0,187505541053099;0,180915513138648;0,170835513445561;0,782413152323098;0,00475349855842442;0,0241706954009725;0,0178271402719434;0,000619769179522481;0,00356627816534203;2,32579478732232e-05;0,000158770893443533;0,000147806758520899;0,00330171374665898;0,531728715363034;0,000933511445140307
"traiter";-0,973146698938872;-1,42639732517468;0,494452905809871;-0,704522240009045;0,189764688780958;-0,501964247504379;-0,735757990808887;0,255046521826403;-0,363403561294363;0,097883586627487;0,311766183006949;0,5331214488789;0,0596782441923707;0,0902468116797595;0,00518731224202172;0,0027462642875257;0,00590020000101442;0,000708982586981725;0,00143937884783785;0,000104427890920291;0,00289991789389096;0,884092538438212;0,00226663271216868
"mot";0,822318737583411;-0,448130796250761;-0,178427637258357;-0,866178738372866;0,719613897540591;0,557331275600664;-0,303723236374684;-0,12093036207329;-0,58705764455058;0,487722476852331;0,450622634956229;0,106516026390974;0,0157307949867457;0,276132638840751;0,150997904825302;0,00157702744746315;0,000468347773670205;7,42477211531464e-05;0,00174974160175095;0,00120769693350681;0,00233216288454483;0,621394778112974;0,00090052148350926
"objet";0,0874920717010119;-0,470769542817755;-0,0129517017534569;0,7834113742919;-0,112459444718549;0,0945748558747857;-0,508879956739132;-0,014000186563787;0,846831219947754;-0,121563423624957;0,0144794584906188;0,333660181044978;0,000235267740685886;0,64115751976711;0,0104675729566077;2,08612156463403e-05;0,000603974951372129;4,57147008654993e-07;0,00167256096804339;3,44662537987019e-05;0,00272522404486138;0,368830183333227;0,000370727771875495
